start_tick,end_tick,key,chord
1624064.0,1625088.0,GMajor,VII
1625088.0,1626112.0,GMajor,V
1626112.0,1627136.0,GMajor,VII
1627136.0,1628160.0,GMajor,V
1628160.0,1629184.0,GMajor,V
1629184.0,1639424.0,GMajor,I
1639424.0,1640448.0,GMajor,V
1640448.0,1641472.0,GMajor,II
1641472.0,1642496.0,GMajor,V
1642496.0,1643520.0,GMajor,I
1643520.0,1644544.0,GMajor,V
1644544.0,1645568.0,GMajor,V
1645568.0,1654784.0,GMajor,I
1654784.0,1656832.0,GMajor,IV
1656832.0,1660928.0,CMajor,V
1660928.0,1661952.0,CMajor,I
1661952.0,1665024.0,CMajor,I
1665024.0,1671168.0,GMajor,VI
1671168.0,1687552.0,CMajor,V
1687552.0,1688576.0,cMinor,I
1688576.0,1690624.0,cMinor,I
1690624.0,1701888.0,cMinor,DimVII
1701888.0,1703424.0,cMinor,I+
1703424.0,1703936.0,cMinor,I
1703936.0,1704960.0,FMajor,I
1704960.0,1719296.0,bbMinor,V
1719296.0,1720320.0,FMajor,VI
1720320.0,1723392.0,CMajor,VII
1723392.0,1727488.0,CMajor,VI
1727488.0,1728512.0,cMinor,I+
1728512.0,1731584.0,FMajor,VII
1731584.0,1732608.0,FMajor,I
1732608.0,1735680.0,FMajor,I
1735680.0,1736704.0,FMajor,V
1736704.0,1737728.0,FMajor,VI
1737728.0,1738752.0,FMajor,V
1738752.0,1739776.0,GMajor,VII
1739776.0,1740800.0,GMajor,V
1740800.0,1741824.0,GMajor,VII
1741824.0,1742848.0,GMajor,V
1742848.0,1743872.0,GMajor,VII
1743872.0,1746944.0,GMajor,I
1746944.0,1758208.0,CMajor,V
1758208.0,1759232.0,CMajor,I
1759232.0,1769472.0,cMinor,V
1769472.0,1770496.0,cMinor,I
1770496.0,1773568.0,cMinor,I
1773568.0,1774592.0,cMinor,GerVI
1774592.0,1775616.0,cMinor,I
1775616.0,1776640.0,cMinor,GerVI
1776640.0,1777664.0,cMinor,I
1777664.0,1800192.0,CMajor,III
1800192.0,1801216.0,CMajor,IV
1801216.0,1811456.0,CMajor,V
1811456.0,1815552.0,cMinor,I+
1815552.0,1818624.0,cMinor,I
1818624.0,1820672.0,CMajor,II
1820672.0,1821696.0,FMajor,IV
1821696.0,1823744.0,FMajor,I
1823744.0,1824768.0,FMajor,IV
1824768.0,1825792.0,CMajor,IV
1825792.0,1826816.0,CMajor,II
1826816.0,1830912.0,CMajor,I
1830912.0,1837056.0,CMajor,V
1837056.0,1839104.0,cMinor,VII
1839104.0,1841152.0,cMinor,IV
1841152.0,1860608.0,AbMajor,V
1860608.0,1863680.0,AbMajor,III
1863680.0,1865728.0,AbMajor,I
1865728.0,1866752.0,AbMajor,III
1866752.0,1875968.0,AbMajor,V
1875968.0,1876992.0,AbMajor,I
1876992.0,1880064.0,AbMajor,III
1880064.0,1881088.0,CMajor,bVI
1881088.0,1895424.0,AbMajor,III
1895424.0,1900544.0,AbMajor,V
1900544.0,1906688.0,AbMajor,V
1906688.0,1907712.0,AbMajor,I
1907712.0,1909760.0,AbMajor,V
1909760.0,1912832.0,AbMajor,III
1912832.0,1914880.0,AbMajor,V
1914880.0,1922048.0,AbMajor,III
1922048.0,1923072.0,AbMajor,V
1923072.0,1924096.0,AbMajor,III
